channel_name,category,Sub-category,Customer Remarks,Issue_reported at,issue_responded,Survey_response_Date,Customer_City,Product_category,Item_price,Tenure Bucket,Agent Shift,CSAT Score
Outcall,Shopzilla Related,Signup Issues,No Remark,2023-08-02 13:21:00,2023-08-02 13:23:00,2023-08-02,Unknown,Unknown,979.0,>90,Morning,5
Inbound,Order Related,Invoice request,No Remark,2023-08-02 14:45:00,2023-08-02 14:48:00,2023-08-02,Unknown,Unknown,979.0,>90,Split,5
Outcall,Order Related,Order status enquiry,Ok,2023-08-02 10:59:00,2023-08-02 11:00:00,2023-08-02,Unknown,Unknown,979.0,On Job Training,Morning,2
Inbound,Payments related,Online Payment Issues,No Remark,2023-08-01 11:03:00,2023-08-01 11:09:00,2023-08-01,Unknown,Unknown,979.0,31-60,Morning,5
Inbound,Order Related,Installation/demo,No Remark,2023-08-02 18:20:00,2023-08-02 18:56:00,2023-08-02,Unknown,Unknown,979.0,>90,Morning,5
Inbound,Returns,Reverse Pickup Enquiry,No Remark,2023-08-01 18:30:00,2023-08-01 18:40:00,2023-08-01,Unknown,Unknown,979.0,>90,Afternoon,5
Inbound,Returns,Technician Visit,Should take action fast..thank u,2023-08-02 07:12:00,2023-08-02 07:17:00,2023-08-02,Unknown,Unknown,979.0,>90,Morning,5
Inbound,Returns,Return request,Good talk,2023-08-02 12:54:00,2023-08-02 12:56:00,2023-08-02,Unknown,Unknown,979.0,>90,Morning,5
Inbound,Returns,Fraudulent User,No Remark,2023-08-02 10:06:00,2023-08-02 10:42:00,2023-08-02,Unknown,Unknown,979.0,>90,Morning,5
Inbound,Feedback,UnProfessional Behaviour,The way she talked with me is quite appropriate and nice as well. Shopzilla should hire these kind of executive for their customer support service.   bless you dear.,2023-08-02 13:11:00,2023-08-02 13:21:00,2023-08-02,HARIDWAR,Electronics,199.0,>90,Afternoon,5
Inbound,Order Related,Installation/demo,No Remark,2023-08-02 17:25:00,2023-08-02 17:27:00,2023-08-02,Unknown,Unknown,979.0,>90,Evening,5
Inbound,Refund Related,Refund Related Issues,No Remark,2023-08-02 20:28:00,2023-08-02 20:29:00,2023-08-02,Unknown,Unknown,979.0,61-90,Split,5
Inbound,Returns,Reverse Pickup Enquiry,No Remark,2023-07-29 18:37:00,2023-08-01 12:54:00,2023-08-01,GAYA,Books & General merchandise,295.0,>90,Evening,5
Inbound,Order Related,Delayed,No Remark,2023-08-01 11:02:00,2023-08-01 11:05:00,2023-08-01,Unknown,Unknown,979.0,0-30,Morning,5
Inbound,Order Related,Order status enquiry,No Remark,2023-08-01 12:02:00,2023-08-01 17:45:00,2023-08-01,Unknown,Unknown,979.0,>90,Morning,5
Inbound,Returns,Reverse Pickup Enquiry,"Please pack the products which actually customers ordered, otherwise it is time to both you and us Shopzilla.",2023-08-01 21:22:00,2023-08-01 21:24:00,2023-08-01,Unknown,Unknown,979.0,On Job Training,Evening,4
Inbound,Order Related,Invoice request,No Remark,2023-08-02 12:23:00,2023-08-02 12:28:00,2023-08-02,Unknown,Unknown,979.0,>90,Afternoon,4
Inbound,Returns,Reverse Pickup Enquiry,No Remark,2023-08-01 12:34:00,2023-08-01 12:36:00,2023-08-01,Unknown,Unknown,979.0,>90,Morning,5
Inbound,Shopzilla Related,General Enquiry,Thanks ,2023-08-01 17:29:00,2023-08-01 18:06:00,2023-08-01,Unknown,Unknown,979.0,>90,Evening,5
Inbound,Returns,Reverse Pickup Enquiry,No Remark,2023-08-01 20:32:00,2023-08-01 21:19:00,2023-08-01,Unknown,Unknown,979.0,On Job Training,Evening,5
Inbound,Feedback,UnProfessional Behaviour,No Remark,2023-08-02 22:53:00,2023-08-02 22:59:00,2023-08-02,Unknown,Unknown,979.0,61-90,Evening,4
Inbound,Shopzilla Related,Signup Issues,No Remark,2023-07-31 23:03:00,2023-08-01 07:55:00,2023-08-01,Unknown,Unknown,979.0,61-90,Evening,5
Inbound,Refund Related,Refund Related Issues,????,2023-08-01 07:23:00,2023-08-01 07:25:00,2023-08-01,Unknown,Unknown,979.0,0-30,Morning,5
Inbound,Returns,Reverse Pickup Enquiry,No Remark,2023-08-01 19:34:00,2023-08-01 19:38:00,2023-08-01,Unknown,Unknown,979.0,On Job Training,Evening,5
Inbound,Cancellation,Not Needed,Mr   was very helpful ,2023-08-02 01:01:00,2023-08-02 01:09:00,2023-08-02,Unknown,Unknown,979.0,31-60,Evening,5
Inbound,Returns,Damaged,"Thank you so much sir for solving my issue . Bhai, please highlight my concern. Bhai sorry for the late feedback. Bhai please call me.",2023-08-02 20:16:00,2023-08-02 20:46:00,2023-08-02,Unknown,Unknown,979.0,31-60,Evening,5
Inbound,Returns,Wrong,Good ,2023-08-01 09:29:00,2023-08-01 09:34:00,2023-08-01,RASULABAD,Mobile,7999.0,On Job Training,Morning,5
Inbound,Returns,Reverse Pickup Enquiry,No Remark,2023-08-01 19:39:00,2023-08-01 19:45:00,2023-08-01,Unknown,Unknown,979.0,61-90,Evening,5
Inbound,Returns,Exchange / Replacement,No Remark,2023-08-02 14:59:00,2023-08-02 15:00:00,2023-08-02,Unknown,Unknown,979.0,>90,Morning,4
Inbound,Returns,Return request,Thankyou ,2023-08-01 00:51:00,2023-08-01 00:53:00,2023-08-01,VIRAMGAM,Electronics,1499.0,0-30,Evening,5
Inbound,Returns,Reverse Pickup Enquiry,No Remark,2023-08-01 21:46:00,2023-08-01 21:49:00,2023-08-01,DHULE,Electronics,1799.0,>90,Afternoon,5
Inbound,Order Related,Order status enquiry,I selected for English language preference but it's goes into Hindi channel. But customer service executive doesn't understand English properly,2023-08-02 19:31:00,2023-08-02 19:32:00,2023-08-02,Unknown,Unknown,979.0,On Job Training,Evening,1
Inbound,Returns,Product related Issues,No Remark,2023-08-02 09:58:00,2023-08-02 10:33:00,2023-08-02,Unknown,Unknown,979.0,>90,Split,4
Inbound,Returns,Reverse Pickup Enquiry,No Remark,2023-08-02 18:54:00,2023-08-02 18:55:00,2023-08-02,Unknown,Unknown,979.0,31-60,Evening,1
Inbound,Returns,Missing,No Remark,2023-08-02 19:55:00,2023-08-02 20:44:00,2023-08-02,Unknown,Unknown,979.0,On Job Training,Evening,5
Inbound,Returns,Reverse Pickup Enquiry,Nice ,2023-08-02 22:10:00,2023-08-02 22:18:00,2023-08-02,Unknown,Unknown,979.0,61-90,Evening,5
Inbound,Returns,Reverse Pickup Enquiry,"Please don't give the chance of local shop/ company,,, they're using the name of Shopzilla & giving worst products... Sell your products like Myntra ( Myntra always send their products)",2023-08-02 22:55:00,2023-08-02 22:57:00,2023-08-02,Unknown,Unknown,979.0,61-90,Evening,5
Inbound,Returns,Reverse Pickup Enquiry,No Remark,2023-08-01 20:39:00,2023-08-01 20:41:00,2023-08-01,BHUBANESWAR,Electronics,999.0,>90,Afternoon,5
Outcall,Refund Related,Refund Enquiry,No Remark,2023-08-02 07:28:00,2023-08-02 10:19:00,2023-08-02,CHANGANACHERRY,Home Appliences,21999.0,0-30,Morning,5
Outcall,Returns,Missing,No Remark,2023-08-01 18:21:00,2023-08-01 18:23:00,2023-08-01,BANGALORE,Home Appliences,447.0,31-60,Evening,5
Inbound,Refund Related,Refund Enquiry,No Remark,2023-08-01 15:39:00,2023-08-01 17:52:00,2023-08-01,Unknown,Unknown,979.0,61-90,Evening,5
Inbound,Feedback,UnProfessional Behaviour,No Remark,2023-08-02 18:36:00,2023-08-02 18:38:00,2023-08-02,Unknown,Unknown,979.0,>90,Split,1
Inbound,Returns,Fraudulent User,No Remark,2023-08-02 19:13:00,2023-08-02 19:16:00,2023-08-02,Unknown,Unknown,979.0,>90,Afternoon,5
Outcall,Returns,Wrong,Thank you   for your valuable time & support ,2023-08-02 22:35:00,2023-08-02 23:37:00,2023-08-02,Unknown,Unknown,979.0,31-60,Night,5
Inbound,Order Related,Order status enquiry,Good night,2023-08-01 20:48:00,2023-08-01 20:51:00,2023-08-01,Unknown,Unknown,979.0,>90,Evening,5
Inbound,Returns,Fraudulent User,No,2023-08-01 21:07:00,2023-08-02 06:39:00,2023-08-02,Unknown,Unknown,979.0,31-60,Evening,5
Inbound,Order Related,Customer Requested Modifications,No Remark,2023-08-01 21:37:00,2023-08-01 23:56:00,2023-08-01,Unknown,Unknown,979.0,0-30,Evening,5
Outcall,Returns,Reverse Pickup Enquiry,No Remark,2023-08-02 07:12:00,2023-08-02 07:17:00,2023-08-02,Unknown,Unknown,979.0,>90,Morning,4
Inbound,Returns,Reverse Pickup Enquiry,Thank you so much ,2023-08-02 08:11:00,2023-08-02 08:11:00,2023-08-02,Unknown,Unknown,979.0,>90,Split,5
Inbound,Returns,Service Centres Related,?? no,2023-08-01 00:17:00,2023-08-01 01:14:00,2023-08-01,DARBHANGA,Home Appliences,16390.0,61-90,Evening,1
Inbound,Returns,Missing,No Remark,2023-08-01 11:43:00,2023-08-01 12:01:00,2023-08-01,Unknown,Unknown,979.0,0-30,Morning,5
Inbound,Returns,Fraudulent User,No Remark,2023-08-02 16:41:00,2023-08-02 16:44:00,2023-08-02,Unknown,Unknown,979.0,31-60,Morning,5
Inbound,Returns,Reverse Pickup Enquiry,Please provide customer support in regional language like Bengali ,2023-08-02 19:14:00,2023-08-02 19:22:00,2023-08-02,Unknown,Unknown,979.0,0-30,Evening,5
Inbound,Returns,Technician Visit,Delete in Shopzilla account ,2023-07-31 23:44:00,2023-08-01 00:17:00,2023-08-01,NEW DELHI,Electronics,1099.0,>90,Evening,1
Inbound,Returns,Return request,No Remark,2023-08-02 15:24:00,2023-08-02 15:32:00,2023-08-02,Unknown,Unknown,979.0,>90,Afternoon,5
Inbound,Product Queries,Product Specific Information,No Remark,2023-08-02 09:41:00,2023-08-02 09:43:00,2023-08-02,Unknown,Unknown,979.0,0-30,Morning,5
Inbound,Refund Related,Refund Related Issues,No Remark,2023-08-02 13:22:00,2023-08-02 13:26:00,2023-08-02,Unknown,Unknown,979.0,>90,Morning,5
Inbound,Returns,Missing,Next time better ,2023-08-02 18:55:00,2023-08-02 18:57:00,2023-08-02,Unknown,Unknown,979.0,On Job Training,Evening,5
Inbound,Cancellation,Not Needed,No Remark,2023-08-02 19:37:00,2023-08-02 19:40:00,2023-08-02,Unknown,Unknown,979.0,0-30,Evening,5
Inbound,Order Related,Delayed,Very poor service and support ,2023-08-02 20:07:00,2023-08-02 20:23:00,2023-08-02,HALDWANI,Home Appliences,25990.0,On Job Training,Evening,1
Outcall,Order Related,Delayed,No Remark,2023-08-01 19:19:00,2023-08-01 19:19:00,2023-08-01,Unknown,Electronics,14999.0,>90,Morning,5
Inbound,Returns,Service Centres Related,No Remark,2023-08-01 17:31:00,2023-08-01 17:32:00,2023-08-01,Unknown,Unknown,979.0,>90,Evening,4
Inbound,Returns,Reverse Pickup Enquiry,No Remark,2023-08-01 21:20:00,2023-08-02 09:41:00,2023-08-02,Unknown,Unknown,979.0,61-90,Evening,5
Inbound,Returns,Fraudulent User,Thanks for understanding my problem and helping me out ,2023-08-01 22:05:00,2023-08-01 22:07:00,2023-08-01,Unknown,Unknown,979.0,>90,Split,5
Inbound,Order Related,Installation/demo,No Remark,2023-08-02 10:19:00,2023-08-02 10:26:00,2023-08-02,Unknown,Unknown,979.0,>90,Split,3
Outcall,Returns,Reverse Pickup Enquiry,No Remark,2023-08-02 17:04:00,2023-08-02 17:33:00,2023-08-02,Unknown,Unknown,979.0,>90,Evening,5
Inbound,Returns,Reverse Pickup Enquiry,No Remark,2023-08-01 09:39:00,2023-08-01 09:49:00,2023-08-01,PUNE,Home,417.0,0-30,Morning,1
Inbound,Refund Related,Refund Related Issues,No Remark,2023-08-02 19:42:00,2023-08-02 20:02:00,2023-08-02,Unknown,Unknown,979.0,On Job Training,Evening,1
Outcall,Returns,Return request,Nk,2023-08-01 16:56:00,2023-08-01 16:58:00,2023-08-01,Unknown,Unknown,979.0,31-60,Evening,5
Email,Refund Related,Refund Enquiry,No Remark,2023-08-02 12:24:00,2023-08-02 12:26:00,2023-08-02,Unknown,Unknown,979.0,>90,Morning,4
Outcall,Returns,Missing,No Remark,2023-08-02 11:53:00,2023-08-02 22:10:00,2023-08-02,Unknown,Unknown,979.0,31-60,Morning,5
Inbound,Returns,Return request,No Remark,2023-08-02 21:14:00,2023-08-02 21:16:00,2023-08-02,Unknown,Unknown,979.0,31-60,Evening,5
Inbound,Product Queries,Product Specific Information,No Remark,2023-08-01 09:34:00,2023-08-01 09:44:00,2023-08-01,Unknown,Unknown,979.0,31-60,Morning,5
Email,Refund Related,Refund Related Issues,No Remark,2023-08-01 17:49:00,2023-08-01 17:49:00,2023-08-01,Unknown,Unknown,979.0,>90,Morning,1
Inbound,Order Related,Installation/demo,Noise watch not restart,2023-08-02 12:37:00,2023-08-02 12:41:00,2023-08-02,Unknown,Unknown,979.0,0-30,Morning,1
Inbound,Order Related,Order status enquiry,No any response my orderVery bad costumer service,2023-08-01 10:51:00,2023-08-01 14:42:00,2023-08-01,CHANDRAPUR,Mobile,11999.0,>90,Morning,1
Outcall,Order Related,Order status enquiry,Small product is take so much time and my order is ariving 2 aug but suddanly is change to 5 aug,2023-08-02 17:24:00,2023-08-02 19:27:00,2023-08-02,JAMNAGAR,Electronics,203.0,On Job Training,Evening,1
Inbound,Returns,Reverse Pickup Enquiry,No Remark,2023-08-01 10:29:00,2023-08-01 10:57:00,2023-08-01,Unknown,Unknown,979.0,>90,Split,5
Inbound,Returns,Reverse Pickup Enquiry,Reten,2023-08-02 16:48:00,2023-08-02 16:51:00,2023-08-02,Unknown,Unknown,979.0,>90,Night,1
Inbound,Order Related,Delayed,No Remark,2023-08-02 19:47:00,2023-08-02 19:49:00,2023-08-02,Unknown,Unknown,979.0,>90,Afternoon,5
Inbound,Cancellation,Not Needed,No Remark,2023-08-01 17:03:00,2023-08-01 18:42:00,2023-08-01,PUNE,Books & General merchandise,1299.0,On Job Training,Evening,4
Inbound,Returns,Reverse Pickup Enquiry,No Remark,2023-08-01 12:39:00,2023-08-01 12:40:00,2023-08-01,Unknown,Unknown,979.0,>90,Morning,5
Inbound,Returns,Reverse Pickup Enquiry,No Remark,2023-08-01 18:38:00,2023-08-01 18:40:00,2023-08-01,Unknown,Unknown,979.0,>90,Afternoon,4
